"12","59",2.6932127
"12","72",2.6184576
"12","61",2.615237
"13","6",3.5107472
"13","12",3.3703492
"13","33",3.083691
"13","30",2.822295
"13","45",2.7908206
"14","97",2.986665
"14","86",2.6321008
"14","23",2.323913
"14","2",2.1827655
"14","50",2.1050858
"15","45",2.8675919
"15","85",2.7837145
"15","95",2.099154
"15","87",1.930258
"15","92",1.9236904
"16","80",1.696584
"16","94",1.4279982
"16","81",1.2835418
"16","37",1.1119635
"16","60",1.0878212
"17","87",3.0334055
"17","95",2.4147265
"17","46",2.033137
"17","25",1.9880332
"17","57",1.699751
"18","12",2.4581723
"18","6",2.1714976
"18","33",2.1481254
"18","2",2.082264
"18","16",2.079033
"19","30",4.2759743
"19","6",4.1370068
"19","38",3.8426816
"19","12",3.779092
"19","22",3.501005
"20","16",2.4226825
"20","44",2.395454
"20","68",2.345792
"20","12",2.3400545
"20","61",2.330862
"21","45",1.760653
"21","69",1.737146
"21","88",1.6963214
"21","40",1.6897192
"21","77",1.5761102
"22","30",4.8313437
"22","59",4.1877866
"22","6",4.1382856
"22","38",4.0097156
"22","3",3.9873614
"23","47",1.7236563
"23","81",1.6903898
"23","71",1.5174999
"23","56",1.4176611
"23","2",1.3806455
"24","3",3.591757
"24","6",3.5397089
"24","30",3.5228164
"24","76",3.4997554
"24","12",3.417661
"0","76",3.2500274
"0","75",3.249176
"0","66",3.2043839
"0","49",3.188123
"0","39",3.1495485
"1","85",2.9420347
"1","18",2.5475268
"1","43",2.1376238
"1","38",1.6633934
"1","46",1.5937303
"2","61",2.2916915
"2","87",2.2914145
"2","76",2.2566402
"2","66",2.2223217
"2","99",2.052272
"3","30",4.2587094
"3","3",4.0023813
"3","12",3.7066052
"3","6",3.6564858
"3","16",3.392838
"4","47",2.257881
"4","18",1.906445
"4","7",1.8905344
"4","46",1.8490022
"4","65",1.6529408
"5","12",3.0885136
"5","6",2.97691
"5","30",2.4858239
"5","33",2.4737468
"5","94",2.3763387
"6","75",3.1344852
"6","49",3.0937757
"6","90",2.9691105
"6","6",2.8959367
"6","51",2.8764226
"7","34",2.0381756
"7","58",1.897187
"7","5",1.840447
"7","54",1.6596913
"7","37",1.650643
"8","44",2.0377052
"8","67",2.0127373
"8","47",1.7915355
"8","24",1.6356894
"8","40",1.5071429
"9","30",3.940154
"9","6",3.8440087
"9","38",3.5672598
"9","12",3.4083586
"9","22",3.3922527
"10","46",1.7914853
"10","40",1.6517344
"10","84",1.605596
"10","74",1.3760482
"10","41",1.3542864
"11","51",2.990662
"11","97",2.6573045
"11","81",2.0974085
"11","25",2.0411818
"11","21",2.00718
"12","66",2.8208606
"12","99",2.697176
